        x              y       Side   Disk   Ring   Module
      4.49462      4.52113      1      9      1      3
      4.51149      4.56562      1      9      1      3
      4.71763      4.7795       1      9      1      3
      6.19578      6.2975       1      9      1      3
      4.62611      4.73394      1      9      1      3
      6.56161      6.68005      1      9      1      3
      6.11302      6.25749      1      9      1      3
      6.40104      6.54777      1      9      1      3
      6.42044      6.93416      1      9      1      3
      4.68606      5.23583      1      9      1      3
      6.71249      7.27287      1      9      1      3
      6.67159      7.27355      1      9      1      3
      5.00569      5.68416      1      9      1      3
      4.3429       5.21087      1      9      1      3
      5.76184      6.63777      1      9      1      3
      4.40667      5.37364      1      9      1      3
      4.28456      5.26213      1      9      1      3
      5.81013      6.7877       1      9      1      3
      5.40485      6.38596      1      9      1      3
      4.76595      5.75059      1      9      1      3
      4.09166      5.07984      1      9      1      3
      5.22566      6.32445      1      9      1      3
      6.94001      8.06475      1      9      1      3
      5.32707      6.47789      1      9      1      3
      5.85375      7.01309      1      9      1      3
      4.47887      5.78973      1      9      1      3
      5.92324      7.24942      1      9      1      3
      5.82108      7.37141      1      9      1      3
      4.53378      6.11019      1      9      1      3
      4.6495       6.26347      1      9      1      3
      5.1683       6.84903      1      9      1      3
      4.70162      6.38127      1      9      1      3
      4.26196      5.94904      1      9      1      3
      6.08243      7.77551      1      9      1      3
      6.42999      8.15002      1      9      1      3
      3.62486      5.36257      1      9      1      3
      3.91157      5.65636      1      9      1      3
      4.00797      5.82897      1      9      1      3
      3.93823      5.88455      1      9      1      3
      4.094        6.08274      1      9      1      3
      5.88508      7.93038      1      9      1      3
      4.61516      6.75089      1      9      1      3
      4.72947      6.90559      1      9      1      3
      5.48314      7.70935      1      9      1      3
      4.8782       7.16746      1      9      1      3
      5.91094      7.9747       1      9      1      4
      4.78384      5.77365      1      9      1      4
      4.36349      5.23501      1      9      1      4
      5.1906       6.88103      1      9      1      4
      4.37998      5.33897      1      9      1      4
      4.30352      5.28803      1      9      1      4
      5.5088       7.75263      1      9      1      4
      4.57138      5.93488      1      9      1      4
      5.47051      7.76445      1      9      1      4
      4.11193      5.10475      1      9      1      4
      4.75129      6.45317      1      9      1      4
      4.58402      6.23502      1      9      1      4
      5.85524      8.83456      1      9      1      4
      4.57977      6.34955      1      9      1      4
      5.28728      7.7419       1      9      1      4
      4.90617      7.20574      1      9      1      4
      4.75516      6.93436      1      9      1      4
      4.62919      6.78506      1      9      1      4
      5.08832      7.80957      1      9      1      4
