         x            y         Side    Disk   Ring  Module
      12.3366      -9.86219      1      9      3      33
      13.4431      -10.5162      1      9      3      33
      14.0853      -10.1052      1      9      3      33
      13.6676      -8.93382      1      9      3      33
      14.5201      -8.84712      1      9      3      33
      12.5462      -6.18974      1      9      3      34
      15.6826      -7.59761      1      9      3      34
      16.1604      -6.62038      1      9      3      34
      14.5069      -5.58633      1      9      3      34
      13.7914      -4.77126      1      9      3      35
      15.1521      -5.04854      1      9      3      35
      14.636      -3.91903      1      9      3      35
      14.0566      -3.04564      1      9      3      35
      13.8524      -2.16272      1      9      3      35
      13.9124      -2.18963      1      9      3      36
      14.7825      -1.08968      1      9      3      36
      14.3464      -0.789629      1      9      3      36
      15.9639      0.00877309      1      9      3      36
      20.7901      2.90009      1      9      4      1
      21.3649      1.44879      1      9      4      1
      21.3771      1.42867      1      9      4      1
      21.3828      1.40316      1      9      4      1
      21.3904      1.38284      1      9      4      1
      20.9168      0.286671      1      9      4      1
      20.4754      5.11243      1      9      4      2
      16.9813      4.12498      1      9      4      2
      17.7088      3.13556      1      9      4      2
      20.7093      2.81251      1      9      4      2
      16.3033      6.73853      1      9      4      3
      20.2919      7.42751      1      9      4      3
      17.3404      5.67681      1      9      4      3
      18.2981      11.3885      1      9      4      4
      16.1727      9.52974      1      9      4      4
      13.7554      11.0607      1      9      4      5
      14.3801      10.8444      1      9      4      5
      16.6442      11.1778      1      9      4      5
      14.9292      14.8601      1      9      4      6
      9.8347      15.9238      1      9      4      7
      11.5943      15.507      1      9      4      7
      10.092      15.9455      1      9      4      8
      9.64773      14.942      1      9      4      8
      3.8457      18.4013      1      9      4      10
      1.17262      20.3817      1      9      4      11
      1.52082      21.4508      1      9      4      11
      1.95105      19.513      1      9      4      11
      -2.23143      18.8707      1      9      4      12
      -2.26358      19.3933      1      9      4      12
      -0.286587      21.3785      1      9      4      12
      -3.78701      18.1217      1      9      4      13
      -6.20817      17.6765      1      9      4      14
      -6.79843      19.9793      1      9      4      14
      -9.60328      14.8093      1      9      4      15
      -9.35735      17.4607      1      9      4      15
      -9.60819      19.0271      1      9      4      15
      -12.546      14.372      1      9      4      16
      -12.5313      14.4116      1      9      4      16
      -12.5215      14.4377      1      9      4      16
      -12.5217      15.9633      1      9      4      16
      -9.61966      14.8967      1      9      4      16
      -13.3496      14.8822      1      9      4      17
      -13.5869      15.4313      1      9      4      17
      -17.4694      12.5479      1      9      4      18
      -15.9107      12.0073      1      9      4      18
      -15.8608      12.3246      1      9      4      18
      -15.3916      12.5892      1      9      4      18
      -19.376      9.03198      1      9      4      19
      -18.6073      9.72957      1      9      4      19
      -18.3807      10.3115      1      9      4      19
      -18.711      6.5857      1      9      4      20
      -18.9032      6.95857      1      9      4      20
      -21.3039      3.98837      1      9      4      21
      -17.649      3.83455      1      9      4      21
      -21.6465      0.750006      1      9      4      22
      -19.8118      1.14185      1      9      4      22
      -20.1068      -1.38152      1      9      4      23
      -21.4887      -1.41227      1      9      4      23
      -21.5537      -1.39975      1      9      4      23
      -17.9658      -3.6024      1      9      4      24
      -20.125      -3.3634      1      9      4      24
      -17.5668      -8.24977      1      9      4      25
      -18.2329      -7.9823      1      9      4      25
      -20.3709      -6.94825      1      9      4      25
      -18.8796      -10.4215      1      9      4      26
      -17.4802      -8.38851      1      9      4      26
      -16.5074      -13.7829      1      9      4      27
      -14.1376      -11.0705      1      9      4      27
      -10.0481      -14.4009      1      9      4      29
      -8.26958      -16.9206      1      9      4      30
      -9.07355      -18.1655      1      9      4      30
      -10.1089      -18.8678      1      9      4      30
      -9.69407      -17.8966      1      9      4      30
      -10.2248      -18.8274      1      9      4      30
      -10.3851      -17.7817      1      9      4      30
      -9.89194      -16.1118      1      9      4      30
      -8.47825      -18.6997      1      9      4      31
      -3.11      -20.841      1      9      4      32
      -3.65167      -20.4756      1      9      4      32
      -4.26559      -20.1444      1      9      4      32
      -4.26679      -20.0712      1      9      4      32
      -4.38983      -19.1162      1      9      4      32
      -4.45038      -18.9699      1      9      4      32
      -0.912966      -18.7341      1      9      4      33
      -3.11979      -20.7543      1      9      4      33
      2.88422      -17.3157      1      9      4      34
      2.23571      -20.4847      1      9      4      34
      1.80448      -20.9274      1      9      4      34
      3.59925      -17.7616      1      9      4      35
      8.6635      -19.7312      1      9      4      36
      7.3435      -16.1997      1      9      4      36
      6.90073      -18.5828      1      9      4      36
      6.86659      -18.5742      1      9      4      36
      9.89444      -15.9393      1      9      4      37
      9.90799      -16.468      1      9      4      37
      8.68379      -15.1859      1      9      4      37
      7.68681      -16.4546      1      9      4      37
      13.1317      -16.1195      1      9      4      38
      11.3985      -14.6031      1      9      4      38
      15.526      -13.1589      1      9      4      39
      15.3408      -10.4464      1      9      4      40
      14.3207      -10.3223      1      9      4      40
      15.5824      -13.2311      1      9      4      40
      15.8359      -7.61877      1      9      4      41
      19.2363      -7.01079      1      9      4      42
      19.3982      -8.61074      1      9      4      42
      19.5083      -4.06468      1      9      4      43
      20.7648      -4.63006      1      9      4      43
      19.3748      -0.51484      1      9      4      44
      20.812      -0.910461      1      9      4      44
      22.5345      0.120337      1      9      5      1
      23.4718      3.00239      1      9      5      1
      23.2713      3.35063      1      9      5      2
      23.5511      5.27958      1      9      5      2
      20.4134      5.42862      1      9      5      3
      20.1921      7.48208      1      9      5      3
      21.3869      9.30676      1      9      5      4
      20.6452      10.607      1      9      5      4
      18.2555      11.3696      1      9      5      5
      15.6957      15.0216      1      9      5      6
      11.1807      19.0078      1      9      5      8
      11.2494      19.0782      1      9      5      9
      10.9698      19.9305      1      9      5      9
      9.7714      21.2247      1      9      5      9
      7.98046      20.4881      1      9      5      10
      6.17359      21.0592      1      9      5      10
      5.20262      21.9842      1      9      5      11
      4.49634      21.5939      1      9      5      11
      3.89715      24.612      1      9      5      11
      1.60883      21.9888      1      9      5      12
      1.54735      21.4101      1      9      5      12
      1.15154      23.4828      1      9      5      12
      -0.298313      21.5421      1      9      5      13
      -2.96401      23.8957      1      9      5      13
      -3.466      23.7179      1      9      5      14
      -8.64461      21.4997      1      9      5      15
      -8.75896      21.2105      1      9      5      16
      -9.57952      18.9863      1      9      5      16
      -10.3075      19.978      1      9      5      16
      -10.2926      19.8849      1      9      5      16
      -13.7967      20.3062      1      9      5      17
      -13.5449      19.5016      1      9      5      17
      -12.2219      17.1878      1      9      5      17
      -14.665      19.0501      1      9      5      17
      -14.673      19.0251      1      9      5      18
      -14.0485      16.9245      1      9      5      18
      -15.7418      17.5417      1      9      5      18
      -17.4595      16.5189      1      9      5      19
      -16.2882      15.1365      1      9      5      19
      -17.2176      14.3349      1      9      5      19
      -20.4789      14.2314      1      9      5      20
      -20.0585      12.0383      1      9      5      20
